"","Year","Area","Street","Street.2"
"108",2011,"","Hurst Str.  Birmingham"," Hurst Str., Birmingham"
"109",2011,"","Kings Heath High Str.","Kings Heath High Str."
"110",2011,"","KNOWLE RD  SMALL HEATH  BHAM"," KNOWLE RD, SMALL HEATH, BHAM"
"111",2011,"","ladypool Road","ladypool Road"
"112",2011,"","ladypool Road","ladypool Road"
"113",2011,"","Ladywell Walk","Ladywell Walk"
"114",2011,"","Lea Hall RD","Lea Hall RD"
"115",2011,"","Lea Hall rd","Lea Hall rd"
"116",2011,"","Lea Village  Stechford"," Lea Village, Stechford"
"117",2011,"","Lenches Close  Mosley"," Lenches Close, Mosley"
"118",2011,"","Lime Tree Road","Lime Tree Road"
"119",2011,"","Lode Lane   Hermitage Road","Lode Lane @ Hermitage Road"
"120",2011,"","Long Str.","Long Str."
"121",2011,"","Long Str.  Sparkhill","Long Str.. Sparkhill"
"122",2011,"","Longbridge Lane","Longbridge Lane"
"123",2011,"","LONGMEADOW CRESCENT SHARD END   BHAM"," LONGMEADOW CRESCENT SHARD END , BHAM"
"124",2011,"","Maccadown Lane","Maccadown Lane"
"125",2011,"","masshouse lane","masshouse lane"
"126",2011,"","Meadwaym Stechford","Meadwaym Stechford"
"127",2011,"","Mickleover Road  Bromford"," Mickleover Road, Bromford"
"128",2011,"","moorcroft Road","moorcroft Road"
"129",2011,"","Moseley Road","Moseley Road"
"130",2011,"","moseley Road","moseley Road"
"131",2011,"","moseley Road","moseley Road"
"132",2011,"","moseley Road","moseley Road"
"133",2011,"","Moseley Village","Moseley Village"
"134",2011,"","Moseley Village","Moseley Village"
"135",2011,"","Moseley Village  Alcester Road"," Moseley Village, Alcester Road"
"136",2011,"","Mosley All Services Club  Church Road  Moseley"," Mosley All Services Club, Church Road, Moseley."
"137",2011,"","Nearlands Close Quinton","Nearlands Close Quinton"
"138",2011,"","new Str.","new Str."
"139",2011,"","Northfield High Str.","Northfield High Str."
"140",2011,"","O S BEHANS  HIGHFIELD ROAD  BILLESLEY"," O/S BEHANS, HIGHFIELD ROAD, BILLESLEY"
"141",2011,"","O S The junction  Mosley Village"," O/S The junction, Mosley Village"
"142",2011,"","O S Washwood Heath Road","O/S Washwood Heath Road"
