"","Year","Area","Street","Street.2"
"937",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"938",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"939",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"940",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"941",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"942",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"943",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"944",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"945",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"946",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"947",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"948",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"949",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"950",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"951",2011,"","bROAD STREET  Birmingham"," bROAD STREET, Birmingham"
"952",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"953",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"954",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"955",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"956",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham"
"957",2011,"","BRoad Str.  Birmingham"," BRoad Str., Birmingham."
"958",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"959",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"960",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"961",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"962",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"963",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"964",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"965",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"966",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre"
"967",2011,"","BRoad Str.  city centre"," BRoad Str., city centre"
"968",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre,"
"969",2011,"","BRoad Str.  City Centre  Birmingham"," BRoad Str., City Centre, Birmingham"
"970",2011,"","BRoad Str.  City Centre  Birmingham"," BRoad Str., City Centre, Birmingham"
"971",2011,"","BRoad Str.  City Centre  Birmingham"," BRoad Str., City Centre, Birmingham"
"972",2011,"","BRoad Str.  City Centre  Birmingham"," BRoad Str., City Centre, Birmingham"
"973",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre."
"974",2011,"","BRoad Str.  City Centre"," BRoad Str., City Centre."
"975",2011,"","BRoad Str. City centre"," BRoad Str.,City centre"
"976",2011,"","BRoad Str. City centre"," BRoad Str.,City centre"
"977",2011,"","BRoad Str. City centre"," BRoad Str.,City centre"
"978",2011,"","BRoad Str.","BRoad Str.."
"979",2011,"","BRoad Str.  Birmingham","BRoad Str.. Birmingham"
"980",2011,"","BRoad strret","BRoad strret"
"981",2011,"","BRoadway Plaza  Ladywood Middleway"," BRoadway Plaza, Ladywood Middleway"
"982",2011,"","Bromsgrove Str.  Birmingham"," Bromsgrove Str., Birmingham"
"983",2011,"","Brookvale Rd Witton","Brookvale Rd Witton"
"984",2011,"","Bull ring","Bull ring"
"985",2011,"","Bull Ring","Bull Ring"
"986",2011,"","Bullring  City Centre"," Bullring, City Centre."
"987",2011,"","Burford Road  Kingstanding"," Burford Road, Kingstanding"
"988",2011,"","Calshott Road  Great Barr"," Calshott Road, Great Barr"
"989",2011,"","Camborne Close","Camborne Close."
"990",2011,"","Canal side  soho loop  handsworth"," Canal side, soho loop, handsworth"
"991",2011,"","Car park  AVFC"," Car park, AVFC"
"992",2011,"","carrs lane","carrs lane"
"993",2011,"","Chiswell Road","Chiswell Road"
"994",2011,"","Church Vale Road","Church Vale Road"
"995",2011,"","City Hospita Dudley Road"," City Hospita,Dudley Road"
"996",2011,"","City Hospital","City Hospital"
"997",2011,"","City hospital","City hospital"
"998",2011,"","City Hospital","City Hospital"
"999",2011,"","City Hospital","City Hospital"
"1000",2011,"","City Hospital","City Hospital"
"1001",2011,"","City Hospital","City Hospital"
"1002",2011,"","City Hospital","City Hospital"
"1003",2011,"","City Hospital Dudley Road","City Hospital Dudley Road"
"1004",2011,"","City Hospital  Birmingham"," City Hospital, Birmingham"
"1005",2011,"","City Hospital  Birmingham"," City Hospital, Birmingham"
"1006",2011,"","city Road  birmingham"," city Road, birmingham"
"1007",2011,"","City Tavern","City Tavern"
"1008",2011,"","City Tavern Bishopsgate STm","City Tavern Bishopsgate STm"
"1009",2011,"","claythorn avenue","claythorn avenue"
"1010",2011,"","College Road","College Road"
"1011",2011,"","Colmore Row","Colmore Row"
"1012",2011,"","Colmore Row","Colmore Row"
"1013",2011,"","Colmore Row  Birmingham"," Colmore Row, Birmingham"
"1014",2011,"","Colmore Row  Birmingham"," Colmore Row, Birmingham."
"1015",2011,"","Constitution Hill  Birmingham"," Constitution Hill, Birmingham"
"1016",2011,"","Corparation Str.  Birmingham"," Corparation Str., Birmingham"
"1017",2011,"","Corporation St","Corporation St"
"1018",2011,"","Corporation Str.","Corporation Str."
"1019",2011,"","Corporation Str.","Corporation Str."
"1020",2011,"","Corporation Str.","Corporation Str."
"1021",2011,"","Corporation Str.","Corporation Str."
"1022",2011,"","Corporation Str.  Birmingham"," Corporation Str., Birmingham"
"1023",2011,"","Corporation Str.  Birmingham"," Corporation Str., Birmingham"
"1024",2011,"","Corporation Str.  Birmingham"," Corporation Str., Birmingham"
"1025",2011,"","Corporation Str.  City Centre"," Corporation Str., City Centre"
"1026",2011,"","Corporation Str.  City Centre"," Corporation Str., City Centre"
"1027",2011,"","Corporation Str.  City Centre"," Corporation Str., City Centre"
"1028",2011,"","Corporation Str.  City centre"," Corporation Str., City centre,"
"1029",2011,"","Corporation Str.","Corporation Str.."
"1030",2011,"","Coventry entrance BCFC","Coventry entrance BCFC"
"1031",2011,"","coventry Road","coventry Road"
"1032",2011,"","Coventry Road  Birmingham City FC"," Coventry Road, Birmingham City FC"
"1033",2011,"","Dale End","Dale End"
"1034",2011,"","Dale end","Dale end"
"1035",2011,"","Dale End","Dale End"
"1036",2011,"","Dale End","Dale End"
"1037",2011,"","dale end birmingham","dale end birmingham"
"1038",2011,"","dale end city centre","dale end city centre"
"1039",2011,"","Dale End  Birmingham"," Dale End, Birmingham"
"1040",2011,"","Dale End  Birmingham"," Dale End, Birmingham"
"1041",2011,"","Dale End  Birmingham"," Dale End, Birmingham"
"1042",2011,"","ddora Road   Handsworth"," ddora Road,  Handsworth"
"1043",2011,"","digbeth","digbeth"
"1044",2011,"","Digbeth Coad Station","Digbeth Coad Station"
"1045",2011,"","Digbeth High Str.","Digbeth High Str."
"1046",2011,"","Digbeth High Str.","Digbeth High Str."
"1047",2011,"","Digbeth High stReet  city centre"," Digbeth High stReet, city centre"
"1048",2011,"","dudley Road","dudley Road"
"1049",2011,"","Edgbaston St","Edgbaston St."
"1050",2011,"","edgbaston Str.","edgbaston Str."
"1051",2011,"","Edmund Str.","Edmund Str."
"1052",2011,"","Ernest Str. City Centre Birmingham","Ernest Str. City Centre Birmingham"
"1053",2011,"","essex st","essex st"
"1054",2011,"","essex Str.  aston","essex Str. (aston)"
"1055",2011,"","Essex Str.  Birmingham"," Essex Str., Birmingham"
"1056",2011,"","Essex Str.  City Centre"," Essex Str., City Centre"
"1057",2011,"","Etap Hotel Foyer  Birmingham"," Etap Hotel Foyer, Birmingham"
"1058",2011,"","Eva Road","Eva Road"
"1059",2011,"","Faisley Str. City Centre","Faisley Str. City Centre"
"1060",2011,"","Five Ways  Birmingham"," Five Ways, Birmingham"
"1061",2011,"","flood gate Str. birmingham","flood gate Str. birmingham"
"1062",2011,"","formula one hotel","formula one hotel"
"1063",2011,"","Fox Hollies Road","Fox Hollies Road"
"1064",2011,"","Gas Str.","Gas Str."
"1065",2011,"","gas Str.","gas Str."
"1066",2011,"","gas Str.","gas Str."
"1067",2011,"","Gas Str.","Gas Str."
"1068",2011,"","gas Str.","gas Str."
"1069",2011,"","Gas Str. City centre"," Gas Str.,City centre"
"1070",2011,"","Gatecrasher BRoad Str."," Gatecrasher,BRoad Str."
"1071",2011,"","Gatescrasher  Bishopsgate  Birmingham"," Gatescrasher, Bishopsgate, Birmingham"
"1072",2011,"","golden hind ph","golden hind ph"
"1073",2011,"","Golden Hind Pub Kingstanding Road","Golden Hind Pub Kingstanding Road"
"1074",2011,"","Gooch St North","Gooch St North"
"1075",2011,"","Grange Road","Grange Road"
"1076",2011,"","Grangers Lane Cradley Heath","Grangers Lane Cradley Heath"
"1077",2011,"","Great Charles Str.  City Centre"," Great Charles Str., City Centre"
"1078",2011,"","Grosvenor Casino  Birmingham"," Grosvenor Casino, Birmingham"
"1079",2011,"","Grotersley Str.","Grotersley Str."
"1080",2011,"","HAGLEY ROAD","HAGLEY ROAD"
"1081",2011,"","Hall Rd","Hall Rd"
"1082",2011,"","Hall Str.","Hall Str."
"1083",2011,"","Hamstead Road  Handsworth"," Hamstead Road, Handsworth"
"1084",2011,"","Handsworth Park","Handsworth Park"
"1085",2011,"","Handsworth Police Station","Handsworth Police Station"
"1086",2011,"","Hawthorn Road  Kingstanding  Birmingham"," Hawthorn Road, Kingstanding, Birmingham"
"1087",2011,"","Heath Mill Lane","Heath Mill Lane"
"1088",2011,"","High St Harborne Birmingham","High St Harborne Birmingham"
"1089",2011,"","high st    digbeth"," high st,  ~digbeth"
"1090",2011,"","High st   digbeth"," High st,  digbeth"
"1091",2011,"","high st  digbeth"," high st, digbeth"
"1092",2011,"","High Str.  City Centre"," High Str., City Centre."
"1093",2011,"","High Str. City Centre"," High Str.,City Centre"
"1094",2011,"","hilden Road","hilden Road"
"1095",2011,"","Hill St  Birmingham"," Hill St, Birmingham"
"1096",2011,"","Hill Str.","Hill Str."
"1097",2011,"","Hill Str.  Birmingham"," Hill Str., Birmingham"
"1098",2011,"","Hill Str.  City Centre"," Hill Str., City Centre"
"1099",2011,"","Hill Str.  City Centre"," Hill Str., City Centre"
"1100",2011,"","Hill Str.  City Centre"," Hill Str., City Centre"
"1101",2011,"","Hill Str.  City Centre"," Hill Str., City Centre."
"1102",2011,"","Hockley Circus","Hockley Circus"
"1103",2011,"","Holiday Inn  Lionel St"," Holiday Inn, Lionel St."
"1104",2011,"","Holiday Inn  Smallbrook Queensway"," Holiday Inn, Smallbrook Queensway,"
"1105",2011,"","Holiday Str.","Holiday Str."
"1106",2011,"","Holly Road","Holly Road"
"1107",2011,"","Holte Str.  Gosta Green"," Holte Str., Gosta Green"
"1108",2011,"","home address","home address"
"1109",2011,"","Horsefair","Horsefair"
"1110",2011,"","Horsefair Bristol St","Horsefair Bristol St"
"1111",2011,"","Humer Tower Francis Str."," Humer Tower,Francis Str."
"1112",2011,"","Hurst","Hurst"
"1113",2011,"","Hurst St","Hurst St"
"1114",2011,"","Hurst St City centre Birmingham","Hurst St City centre Birmingham"
"1115",2011,"","Hurst st   bham"," Hurst st,  bham"
"1116",2011,"","Hurst St  Birminhgam"," Hurst St, Birminhgam"
"1117",2011,"","Hurst Str.","Hurst Str."
"1118",2011,"","hurst Str.","hurst Str."
"1119",2011,"","Hurst Str.","Hurst Str."
"1120",2011,"","Hurst Str.","Hurst Str."
"1121",2011,"","Hurst Str.","Hurst Str."
"1122",2011,"","Hurst Str.","Hurst Str."
"1123",2011,"","Hurst Str.","Hurst Str."
"1124",2011,"","hurst Str.","hurst Str."
"1125",2011,"","Hurst Str.","Hurst Str."
"1126",2011,"","Hurst Str.","Hurst Str."
"1127",2011,"","hurst Str.","hurst Str."
"1128",2011,"","Hurst Str.","Hurst Str."
"1129",2011,"","Hurst Str.","Hurst Str."
"1130",2011,"","Hurst Str.","Hurst Str."
"1131",2011,"","Hurst Str.","Hurst Str."
"1132",2011,"","hurst Str.","hurst Str."
"1133",2011,"","Hurst Str.","Hurst Str."
"1134",2011,"","Hurst Str.","Hurst Str."
"1135",2011,"","Hurst Str.","Hurst Str."
"1136",2011,"","Hurst Str.","Hurst Str."
"1137",2011,"","Hurst Str.","Hurst Str."
"1138",2011,"","Hurst Str.","Hurst Str."
"1139",2011,"","Hurst Str.","Hurst Str."
"1140",2011,"","Hurst Str.  Birmingham"," Hurst Str., Birmingham"
"1141",2011,"","Hurst Str.  Birmingham"," Hurst Str., Birmingham"
"1142",2011,"","Hurst Str.  Birmingham"," Hurst Str., Birmingham"
"1143",2011,"","Hurst Str.  Birmingham"," Hurst Str., Birmingham"
"1144",2011,"","hurst Str.  Birmingham"," hurst Str., Birmingham"
"1145",2011,"","Hurst Str.  City Center"," Hurst Str., City Center"
"1146",2011,"","Hurst Str.  City Centre"," Hurst Str., City Centre,"
"1147",2011,"","Hurst Str. City centre"," Hurst Str.,City centre"
"1148",2011,"","Hurst Str. City centre"," Hurst Str.,City centre"
"1149",2011,"","IBIS Hotel","IBIS Hotel"
"1150",2011,"","ICC","ICC"
"1151",2011,"","ICC  bRoad Str."," ICC ,bRoad Str."
"1152",2011,"","in arcadian centre bham","in arcadian centre bham"
"1153",2011,"","Inge Str.","Inge Str."
"1154",2011,"","Inge Str.   Hurst Str.","Inge Str. @ Hurst Str."
"1155",2011,"","Islington Row  city centre"," Islington Row, city centre"
"1156",2011,"","Islington Row  Middleway"," Islington Row, Middleway"
"1157",2011,"","James Watt Queensway  Birmingham"," James Watt Queensway, Birmingham"
"1158",2011,"","Kent Str.","Kent Str."
"1159",2011,"","Kingstanding Road","Kingstanding Road"
"1160",2011,"","Kingstanding Road","Kingstanding Road"
"1161",2011,"","Lady well walk  City Centre"," Lady well walk, City Centre."
"1162",2011,"","Ladywell Walk","Ladywell Walk"
"1163",2011,"","Ladywell Walk","Ladywell Walk"
"1164",2011,"","ladywell walk","ladywell walk"
"1165",2011,"","Ladywell Walk","Ladywell Walk"
"1166",2011,"","Ladywell walk","Ladywell walk"
"1167",2011,"","Ladywell walk","Ladywell walk"
"1168",2011,"","Ladywell Walk","Ladywell Walk"
"1169",2011,"","Ladywell Walk","Ladywell Walk"
"1170",2011,"","Ladywell walk  Birmingham"," Ladywell walk, Birmingham"
"1171",2011,"","Lattimer Place Winson Green","Lattimer Place Winson Green"
"1172",2011,"","Lee Longlands   BRoad Str.  Birmingham"," Lee Longlands,  BRoad Str., Birmingham"
"1173",2011,"","Linwood Rd H worth","Linwood Rd H'worth"
"1174",2011,"","Lloyds Bar       BRoad Str.","Lloyds Bar¸æçñîº¸æçÜîº¸æò∂åº¸æôÜêº¸æçñîº¸æåÉ§º BRoad Str."
"1175",2011,"","Lloyds Bar  BRoad Str."," Lloyds Bar, BRoad Str."
"1176",2011,"","Lodge Rd Winson Green","Lodge Rd Winson Green"
"1177",2011,"","loft lounge","loft lounge"
"1178",2011,"","Long Acre  Nechells","Long Acre  Nechells"
"1179",2011,"","lower bull Str.","lower bull Str."
"1180",2011,"","lower bull Str.","lower bull Str."
"1181",2011,"","Lower parade  Sutton"," Lower parade, Sutton"
"1182",2011,"","Lower Parade  Sutton Coldfield"," Lower Parade, Sutton Coldfield"
"1183",2011,"","Macdonalds  Bordesley Green East"," Macdonalds, Bordesley Green East"
"1184",2011,"","Macdonalds  ramp  city centre  Birmingham"," Macdonalds, ramp, city centre, Birmingham"
"1185",2011,"","Mailbox  Birmingham"," Mailbox, Birmingham"
"1186",2011,"","Mcdonald Str.  birmingham"," Mcdonald Str., birmingham"
"1187",2011,"","Millward Close  small Heath"," Millward Close, small Heath"
"1188",2011,"","Mono Bar  Arcadian Centre"," Mono Bar, Arcadian Centre"
"1189",2011,"","Mono Bar Ladywell Walk  City Centre"," Mono Bar,Ladywell Walk, City Centre"
"1190",2011,"","moor st","moor st"
"1191",2011,"","moor Str.","moor Str."
"1192",2011,"","Moor Str. Entance to Bull Ring","Moor Str. Entance to Bull Ring"
"1193",2011,"","Moore Str.  Birmingham"," Moore Str., Birmingham"
"1194",2011,"","Moore Str.  City Centre  Birmingham"," Moore Str., City Centre, Birmingham"
"1195",2011,"","Moseley park Alcester Str."," Moseley park,Alcester Str."
"1196",2011,"","navigation St  Birmingham"," navigation St, Birmingham"
"1197",2011,"","Navigation Str.","Navigation Str."
"1198",2011,"","Near to Hair   Beauty  Soho Road"," Near to Hair & Beauty, Soho Road"
"1199",2011,"","New Meeting Str. City centre"," New Meeting Str.,City centre"
"1200",2011,"","New St","New St"
"1201",2011,"","New St B ham City Centre","New St B'ham City Centre"
"1202",2011,"","New St City Centre","New St City Centre"
"1203",2011,"","new st railway station","new st railway station"
"1204",2011,"","new st railway station","new st railway station"
"1205",2011,"","new st railway station","new st railway station"
"1206",2011,"","New St  Birmingham"," New St, Birmingham"
"1207",2011,"","New Str.","New Str."
"1208",2011,"","New Str.","New Str."
"1209",2011,"","New Str.","New Str."
"1210",2011,"","New Str.","New Str."
"1211",2011,"","New Str.","New Str."
"1212",2011,"","New Str.","New Str."
"1213",2011,"","new Str.","new Str."
"1214",2011,"","New Str.","New Str."
"1215",2011,"","New Str.   Stephenson Str.","New Str. @ Stephenson Str."
"1216",2011,"","New Str. city centre  Birmingham"," New Str. city centre, Birmingham"
"1217",2011,"","new Str. railwaty","new Str. railwaty"
"1218",2011,"","New Str. station","New Str. station"
"1219",2011,"","New Str. Station","New Str. Station"
"1220",2011,"","New Str. Station","New Str. Station"
"1221",2011,"","New Str. Station","New Str. Station"
"1222",2011,"","New Str. Station  Birmingham"," New Str. Station, Birmingham"
"1223",2011,"","New Str. station  station approach"," New Str. station, station approach"
"1224",2011,"","New Str.  Birmingham"," New Str., Birmingham"
"1225",2011,"","New Str.  Birmingham"," New Str., Birmingham"
"1226",2011,"","New Str.  Birmingham"," New Str., Birmingham"
"1227",2011,"","New Str.  City Centre"," New Str., City Centre"
"1228",2011,"","New Str.  City Centre"," New Str., City Centre"
"1229",2011,"","New Str.  City Centre"," New Str., City Centre"
"1230",2011,"","New Str.  City Centre"," New Str., City Centre."
"1231",2011,"","Newtown Housing Centre","Newtown Housing Centre"
"1232",2011,"","Newtown Row","Newtown Row"
"1233",2011,"","Next Clearance Store  Corporation Str."," Next Clearance Store, Corporation Str.."
"1234",2011,"","Nineva Road ayt Soho Rd","Nineva Road ayt Soho Rd"
"1235",2011,"","Not known","Not known"
"1236",2011,"","o s Bham crown court","o/s Bham crown court"
"1237",2011,"","O s Flairs BRoad Str.","O/s Flairs BRoad Str."
"1238",2011,"","o s Flares club  BRoad St  Birmingham"," o/s Flares club, BRoad St, Birmingham"
"1239",2011,"","O S Gatecrasher BRoad Str.","O/S Gatecrasher BRoad Str."
"1240",2011,"","O S McDonalds  Ramp  City Centre"," O/S McDonalds, Ramp, City Centre"
"1241",2011,"","O s new Str. station","O/s new Str. station"
"1242",2011,"","O S Oceania  Ladywell Walk  Birmingham"," O/S Oceania, Ladywell Walk, Birmingham"
"1243",2011,"","o s Reflex BRoad Str.  City Centre"," o/s Reflex BRoad Str., City Centre"
"1244",2011,"","o s The Crown PH Station Road","o/s The Crown PH Station Road"
"1245",2011,"","O s Walkabout BRoad Str.","O/s Walkabout BRoad Str."
"1246",2011,"","o2 Academy","o2 Academy"
"1247",2011,"","O2 Academy  Horsefair"," O2 Academy, Horsefair."
"1248",2011,"","Oh Bar  BRoad Str.  Birmingham"," Oh Bar, BRoad Str., Birmingham"
"1249",2011,"","O Neils  BRoad Str.  Birmingham"," O'Neils, BRoad Str., Birmingham"
"1250",2011,"","OS Birmingham Magistrates Court","OS Birmingham Magistrates Court"
"1251",2011,"","os dubliner ph","os dubliner ph"
"1252",2011,"","Outside Bliss  BRoad Str.","Outside Bliss  BRoad Str."
"1253",2011,"","Outside Bliss nightclub","Outside Bliss nightclub."
"1254",2011,"","Outside Bliss nightclub","Outside Bliss nightclub."
"1255",2011,"","Outside Bliss BRoad Str."," Outside Bliss,BRoad Str."
"1256",2011,"","Outside O Velvet  BRoad St"," Outside O Velvet, BRoad St."
"1257",2011,"","Outside Oceana Club","Outside Oceana Club"
"1258",2011,"","outside reflex nightclub","outside reflex nightclub"
"1259",2011,"","Outside Revolution Bridge St Walsal","Outside Revolution Bridge St Walsal"
"1260",2011,"","outside rocket club bRoad st","outside rocket club bRoad st"
"1261",2011,"","Outside walkabout BRoad Str."," Outside walkabout,BRoad Str."
"1262",2011,"","O Velvet  Nightclub  BRoad St  Birmingham"," O'Velvet, Nightclub, BRoad St, Birmingham"
"1263",2011,"","Oxhill Road","Oxhill Road"
"1264",2011,"","Pagoda Island","Pagoda Island"
"1265",2011,"","paradise forum","paradise forum"
"1266",2011,"","Paradise Forum City Centre Birmingham","Paradise Forum City Centre Birmingham"
"1267",2011,"","Paradise Forum  Victoria Square  Birmingham"," Paradise Forum, Victoria Square, Birmingham"
"1268",2011,"","Pershore St car park","Pershore St car park"
"1269",2011,"","Pershore Str. Road  City Centre"," Pershore Str. Road, City Centre"
"1270",2011,"","Pershore Str.  City Centre"," Pershore Str., City Centre."
"1271",2011,"","Pizza Hut  New St  Birmingham"," Pizza Hut, New St, Birmingham"
"1272",2011,"","Quigley Avenue","Quigley Avenue"
"1273",2011,"","Rag market  city centre"," Rag market, city centre"
"1274",2011,"","Reflex on BRoad Str.  Birmingham"," Reflex on BRoad Str., Birmingham"
"1275",2011,"","regency wharf","regency wharf"
"1276",2011,"","Risa Bar  Birmingham"," Risa Bar, Birmingham"
"1277",2011,"","Risa BRoad Str."," Risa,BRoad Str."
"1278",2011,"","Rookery Road  Handsworth"," Rookery Road, Handsworth"
"1279",2011,"","Rottersley Str.  Birmingham"," Rottersley Str., Birmingham"
"1280",2011,"","Rotunda Island  City CEntre"," Rotunda Island, City CEntre"
"1281",2011,"","Sainsburys Colmore Row","Sainsburys Colmore Row"
"1282",2011,"","Sandringham Road","Sandringham Road"
"1283",2011,"","Sandwell Hospital","Sandwell Hospital"
"1284",2011,"","Sence in the Arcadian","Sence in the Arcadian"
"1285",2011,"","Sense Nightclub  Arcadia  Birmingham"," Sense Nightclub, Arcadia, Birmingham"
"1286",2011,"","Shadwell Str.","Shadwell Str."
"1287",2011,"","Shakespeare Bar  New Str. Station"," Shakespeare Bar, New Str. Station."
"1288",2011,"","Shakespeare PH  New St Station"," Shakespeare PH, New St Station"
"1289",2011,"","Sheepcote Str.  Birmingham"," Sheepcote Str., Birmingham"
"1290",2011,"","Sioho Road  Handsworth"," Sioho Road, Handsworth"
"1291",2011,"","Slade Road  erdington"," Slade Road, erdington"
"1292",2011,"","Small brook Queensway","Small brook Queensway"
"1293",2011,"","Smallbrook Queensway","Smallbrook Queensway"
"1294",2011,"","smallbrook queensway","smallbrook queensway"
"1295",2011,"","smallbrook queensway","smallbrook queensway"
"1296",2011,"","Smallbrook Queensway City Centre Birmingham","Smallbrook Queensway City Centre Birmingham"
"1297",2011,"","Smallbrook Queensway City centre"," Smallbrook Queensway,City centre"
"1298",2011,"","smethwick end","smethwick end"
"1299",2011,"","soho hill","soho hill"
"1300",2011,"","Soho Hill  Handsworth  Birmingham"," Soho Hill, Handsworth, Birmingham"
"1301",2011,"","Soho Road","Soho Road"
"1302",2011,"","Soho Road","Soho Road"
"1303",2011,"","Soho Road","Soho Road"
"1304",2011,"","soho Road","soho Road"
"1305",2011,"","Sommerfield Park  Winson Green"," Sommerfield Park, Winson Green"
"1306",2011,"","square peg PH","square peg PH"
"1307",2011,"","Square Peg Corporation Str."," Square Peg,Corporation Str."
"1308",2011,"","Star city  Aston"," Star city, Aston."
"1309",2011,"","Star City  Birmingham"," Star City, Birmingham"
"1310",2011,"","Star City  Nechells"," Star City, Nechells"
"1311",2011,"","Station Road  City Centre"," Station Road, City Centre"
"1312",2011,"","Steelhouse Lane","Steelhouse Lane"
"1313",2011,"","Steelhouse Lane","Steelhouse Lane"
"1314",2011,"","Steelhouse Lane","Steelhouse Lane"
"1315",2011,"","Steelhouse Lane","Steelhouse Lane"
"1316",2011,"","Steelhouse Lane","Steelhouse Lane"
"1317",2011,"","steelhouse lane","steelhouse lane"
"1318",2011,"","steelhouse lane","steelhouse lane"
"1319",2011,"","Steelhouse Lane","Steelhouse Lane"
"1320",2011,"","Steelhouse Lane Police station","Steelhouse Lane Police station"
"1321",2011,"","Steelhouse Lane  Birmingham"," Steelhouse Lane, Birmingham"
"1322",2011,"","Steelhouse Lane  City Centre  Birmingham"," Steelhouse Lane, City Centre, Birmingham"
"1323",2011,"","Stephenson St","Stephenson St"
"1324",2011,"","Stephenson Str.","Stephenson Str."
"1325",2011,"","Stephenson Str.  Birmingham City"," Stephenson Str., Birmingham City"
"1326",2011,"","Stephenson Str.  City Centre"," Stephenson Str., City Centre"
"1327",2011,"","Stephensons Str.","Stephensons Str."
"1328",2011,"","Suffolk St Queensway","Suffolk St Queensway"
"1329",2011,"","Sugar Suite  BRoad Str."," Sugar Suite, BRoad Str."
"1330",2011,"","summer lane","summer lane"
"1331",2011,"","summer row","summer row"
"1332",2011,"","Temple Row","Temple Row"
"1333",2011,"","temple row","temple row"
"1334",2011,"","Tennant St","Tennant St"
"1335",2011,"","Terrace Road  Handsworth"," Terrace Road, Handsworth"
"1336",2011,"","tesco aston lane","tesco aston lane"
"1337",2011,"","Tesco SpringHill","Tesco SpringHill"
"1338",2011,"","The Parade Sutton Coldfield","The Parade Sutton Coldfield"
"1339",2011,"","The Parade  Sutton Coldfield"," The Parade, Sutton Coldfield"
"1340",2011,"","The Ramp  Corporation St  Birmingham"," The Ramp, Corporation St, Birmingham"
"1341",2011,"","The Ramp","The Ramp."
"1342",2011,"","Thornhill Road  Birmingham"," Thornhill Road, Birmingham"
"1343",2011,"","Thornhill Road  Handsworth"," Thornhill Road, Handsworth"
"1344",2011,"","Thorpe St at Hurst St","Thorpe St at Hurst St"
"1345",2011,"","Thorpe Str.","Thorpe Str."
"1346",2011,"","Trocadero Public house o s","Trocadero Public house o/s"
"1347",2011,"","Turners Pallets  Hayhole Road"," Turners Pallets, Hayhole Road"
"1348",2011,"","upper dean Str.","upper dean Str."
"1349",2011,"","Upper Dean Str.  Birmingham"," Upper Dean Str., Birmingham"
"1350",2011,"","Upper Dean Str.  Birmingham City Centre"," Upper Dean Str., Birmingham City Centre"
"1351",2011,"","Upper Dean Str.  City Centre"," Upper Dean Str., City Centre"
"1352",2011,"","Upper parade Sutton Coldfield","Upper parade Sutton Coldfield"
"1353",2011,"","Upper Parade Sutton Coldfield","Upper Parade Sutton Coldfield"
"1354",2011,"","victoria square   bham"," victoria square,  bham"
"1355",2011,"","Victoria Square  City Centre"," Victoria Square, City Centre."
"1356",2011,"","Waiverley park Handsworth"," Waiverley park,Handsworth"
"1357",2011,"","walkabout bar bRoad st","walkabout bar bRoad st"
"1358",2011,"","Walkabout PH  BRoad St  Birmingham"," Walkabout PH, BRoad St, Birmingham"
"1359",2011,"","Walkabout PH  BRoad Str.  Birmingham"," Walkabout PH, BRoad Str., Birmingham"
"1360",2011,"","Walkabout  BRoad Str."," Walkabout, BRoad Str."
"1361",2011,"","Walsall Road   great barr"," Walsall Road,  great barr"
"1362",2011,"","Walsall Road  Perry Barr"," Walsall Road, Perry Barr"
"1363",2011,"","warf Road kings norton","warf Road kings norton"
"1364",2011,"","Warwards Lane","Warwards Lane"
"1365",2011,"","Washington Drive  Handsworth Wood"," Washington Drive, Handsworth Wood"
"1366",2011,"","Washington Str.","Washington Str."
"1367",2011,"","Waterloo Road  Smethwick"," Waterloo Road, Smethwick"
"1368",2011,"","Waverhill Park  Handsworth"," Waverhill Park, Handsworth"
